behaviorSpaceRun,numComponents,terr,mem,numPred
1,3,None,Individual,1
2,3,None,Individual,1
3,6,None,Individual,1
4,3,None,Individual,1
5,4,None,Individual,1
6,4,None,Individual,1
7,2,None,Individual,1
8,6,None,Individual,1
9,10,None,Individual,1
10,7,None,Individual,1
11,3,None,Individual,1
12,2,None,Individual,1
13,6,None,Individual,1
14,6,None,Individual,1
15,3,None,Individual,1
16,4,None,Individual,1
17,3,None,Individual,1
18,3,None,Individual,1
19,4,None,Individual,1
20,3,None,Individual,1
21,3,None,Individual,1
22,3,None,Individual,1
23,3,None,Individual,1
24,3,None,Individual,1
25,4,None,Individual,1
26,4,None,Individual,1
27,5,None,Individual,1
28,4,None,Individual,1
29,7,None,Individual,1
30,2,None,Individual,1
31,2,None,Individual,1
32,2,None,Individual,1
33,8,None,Individual,1
34,7,None,Individual,1
35,4,None,Individual,1
36,6,None,Individual,1
37,3,None,Individual,1
38,2,None,Individual,1
39,5,None,Individual,1
40,2,None,Individual,1
41,6,None,Individual,1
42,2,None,Individual,1
43,3,None,Individual,1
44,4,None,Individual,1
45,4,None,Individual,1
46,2,None,Individual,1
47,3,None,Individual,1
48,3,None,Individual,1
49,4,None,Individual,1
50,7,None,Individual,1
51,5,None,Individual,2
52,6,None,Individual,2
53,5,None,Individual,2
54,4,None,Individual,2
55,8,None,Individual,2
56,4,None,Individual,2
57,4,None,Individual,2
58,2,None,Individual,2
59,3,None,Individual,2
60,4,None,Individual,2
61,8,None,Individual,2
62,4,None,Individual,2
63,5,None,Individual,2
64,3,None,Individual,2
65,4,None,Individual,2
66,2,None,Individual,2
67,7,None,Individual,2
68,8,None,Individual,2
69,3,None,Individual,2
70,4,None,Individual,2
71,3,None,Individual,2
72,7,None,Individual,2
73,3,None,Individual,2
74,6,None,Individual,2
75,4,None,Individual,2
76,2,None,Individual,2
77,6,None,Individual,2
78,2,None,Individual,2
79,3,None,Individual,2
80,5,None,Individual,2
81,4,None,Individual,2
82,2,None,Individual,2
83,3,None,Individual,2
84,3,None,Individual,2
85,3,None,Individual,2
86,5,None,Individual,2
87,3,None,Individual,2
88,3,None,Individual,2
89,6,None,Individual,2
90,3,None,Individual,2
91,7,None,Individual,2
92,2,None,Individual,2
93,3,None,Individual,2
94,3,None,Individual,2
95,2,None,Individual,2
96,8,None,Individual,2
97,2,None,Individual,2
98,2,None,Individual,2
99,4,None,Individual,2
100,5,None,Individual,2
101,4,None,Individual,3
102,3,None,Individual,3
103,5,None,Individual,3
104,3,None,Individual,3
105,5,None,Individual,3
106,6,None,Individual,3
107,2,None,Individual,3
108,2,None,Individual,3
109,3,None,Individual,3
110,4,None,Individual,3
111,6,None,Individual,3
112,7,None,Individual,3
113,3,None,Individual,3
114,3,None,Individual,3
115,6,None,Individual,3
116,3,None,Individual,3
117,9,None,Individual,3
118,3,None,Individual,3
119,2,None,Individual,3
120,3,None,Individual,3
121,4,None,Individual,3
122,3,None,Individual,3
123,6,None,Individual,3
124,4,None,Individual,3
125,3,None,Individual,3
126,2,None,Individual,3
127,7,None,Individual,3
128,3,None,Individual,3
129,2,None,Individual,3
130,2,None,Individual,3
131,3,None,Individual,3
132,3,None,Individual,3
133,2,None,Individual,3
134,5,None,Individual,3
135,2,None,Individual,3
136,4,None,Individual,3
137,3,None,Individual,3
138,2,None,Individual,3
139,5,None,Individual,3
140,6,None,Individual,3
141,2,None,Individual,3
142,2,None,Individual,3
143,2,None,Individual,3
144,7,None,Individual,3
145,2,None,Individual,3
146,8,None,Individual,3
147,4,None,Individual,3
148,3,None,Individual,3
149,4,None,Individual,3
150,4,None,Individual,3
151,2,None,Individual,4
152,3,None,Individual,4
153,4,None,Individual,4
154,3,None,Individual,4
155,3,None,Individual,4
156,2,None,Individual,4
157,7,None,Individual,4
158,2,None,Individual,4
159,4,None,Individual,4
160,4,None,Individual,4
161,5,None,Individual,4
162,4,None,Individual,4
163,6,None,Individual,4
164,4,None,Individual,4
165,4,None,Individual,4
166,4,None,Individual,4
167,3,None,Individual,4
168,3,None,Individual,4
169,3,None,Individual,4
170,4,None,Individual,4
171,3,None,Individual,4
172,3,None,Individual,4
173,4,None,Individual,4
174,4,None,Individual,4
175,3,None,Individual,4
176,2,None,Individual,4
177,3,None,Individual,4
178,3,None,Individual,4
179,7,None,Individual,4
180,4,None,Individual,4
181,2,None,Individual,4
182,3,None,Individual,4
183,3,None,Individual,4
184,5,None,Individual,4
185,2,None,Individual,4
186,3,None,Individual,4
187,4,None,Individual,4
188,3,None,Individual,4
189,2,None,Individual,4
190,4,None,Individual,4
191,3,None,Individual,4
192,4,None,Individual,4
193,5,None,Individual,4
194,4,None,Individual,4
195,2,None,Individual,4
196,3,None,Individual,4
197,4,None,Individual,4
198,4,None,Individual,4
199,5,None,Individual,4
200,2,None,Individual,4
1,2,None,None,1
2,3,None,None,1
3,3,None,None,1
4,5,None,None,1
5,3,None,None,1
6,6,None,None,1
7,3,None,None,1
8,4,None,None,1
9,3,None,None,1
10,4,None,None,1
11,3,None,None,1
12,4,None,None,1
13,2,None,None,1
14,3,None,None,1
15,8,None,None,1
16,4,None,None,1
17,4,None,None,1
18,5,None,None,1
19,2,None,None,1
20,3,None,None,1
21,3,None,None,1
22,6,None,None,1
23,4,None,None,1
24,6,None,None,1
25,6,None,None,1
26,6,None,None,1
27,3,None,None,1
28,2,None,None,1
29,5,None,None,1
30,2,None,None,1
