behaviorSpaceRun,moranI,terr,mem,numPred
1,0.24490905717440306,None,Individual,1
2,0.23998668613146915,None,Individual,1
3,0.24770451912157498,None,Individual,1
4,0.24413120134755054,None,Individual,1
5,0.2801986650325637,None,Individual,1
6,0.25123310821571365,None,Individual,1
7,0.27837955439888346,None,Individual,1
8,0.27996853965936047,None,Individual,1
9,0.25287686540573323,None,Individual,1
10,0.25707598250880836,None,Individual,1
11,0.26641567892294177,None,Individual,1
12,0.2557239676460046,None,Individual,1
13,0.2303174708259009,None,Individual,1
14,0.25128111719824126,None,Individual,1
15,0.2635214592808199,None,Individual,1
16,0.24531406357206295,None,Individual,1
17,0.23457870000051137,None,Individual,1
18,0.25359018031670444,None,Individual,1
19,0.23832319055090728,None,Individual,1
20,0.25463428626473955,None,Individual,1
21,0.27566296171453586,None,Individual,1
22,0.24173058672733624,None,Individual,1
23,0.2512122621111997,None,Individual,1
24,0.26960775818663674,None,Individual,1
25,0.27834606118147326,None,Individual,1
26,0.25398992337412457,None,Individual,1
27,0.2669908841629389,None,Individual,1
28,0.25554749595869114,None,Individual,1
29,0.2770355115745466,None,Individual,1
30,0.2550529906659768,None,Individual,1
31,0.2584697921362375,None,Individual,1
32,0.2527796875030713,None,Individual,1
33,0.2306110093019591,None,Individual,1
34,0.27914746836863524,None,Individual,1
35,0.24768800113956857,None,Individual,1
36,0.2624830211383452,None,Individual,1
37,0.239459510966563,None,Individual,1
38,0.25662421733496465,None,Individual,1
39,0.2550908651475723,None,Individual,1
40,0.2820782108194616,None,Individual,1
41,0.25506865599012085,None,Individual,1
42,0.251767496206433,None,Individual,1
43,0.2410064063678733,None,Individual,1
44,0.24949690362056107,None,Individual,1
45,0.2408989527972101,None,Individual,1
46,0.273695889006228,None,Individual,1
47,0.24017069266458485,None,Individual,1
48,0.2448326412336411,None,Individual,1
49,0.24436656220874234,None,Individual,1
50,0.254999966862819,None,Individual,1
51,0.2263788719508213,None,Individual,2
52,0.24107744003522488,None,Individual,2
53,0.2578986606441082,None,Individual,2
54,0.2232038847826338,None,Individual,2
55,0.23744695790018533,None,Individual,2
56,0.2206672657093846,None,Individual,2
57,0.22662184843028954,None,Individual,2
58,0.24479112855390733,None,Individual,2
59,0.2492112819804348,None,Individual,2
60,0.25422661021702847,None,Individual,2
61,0.23980783226888305,None,Individual,2
62,0.2618949850962483,None,Individual,2
63,0.21701478092059337,None,Individual,2
64,0.22792116848143548,None,Individual,2
65,0.25563320744128676,None,Individual,2
66,0.2419374288029693,None,Individual,2
67,0.23268032069985026,None,Individual,2
68,0.2912424859134334,None,Individual,2
69,0.24490684956678666,None,Individual,2
70,0.23285396497018374,None,Individual,2
71,0.2329545644678501,None,Individual,2
72,0.24098360063554347,None,Individual,2
73,0.24026179787133722,None,Individual,2
74,0.2561067034737036,None,Individual,2
75,0.24456986208153675,None,Individual,2
76,0.2587590028641377,None,Individual,2
77,0.2546450015840841,None,Individual,2
