behaviorSpaceRun,componentID,componentSize,terr,mem,numPred
1,3,7,None,Individual,1
1,1,7,None,Individual,1
1,2,6,None,Individual,1
2,1,9,None,Individual,1
2,2,7,None,Individual,1
2,3,4,None,Individual,1
3,1,7,None,Individual,1
3,2,7,None,Individual,1
3,4,1,None,Individual,1
3,5,1,None,Individual,1
3,3,3,None,Individual,1
3,6,1,None,Individual,1
4,1,7,None,Individual,1
4,2,8,None,Individual,1
4,3,5,None,Individual,1
5,3,4,None,Individual,1
5,1,5,None,Individual,1
5,2,10,None,Individual,1
5,4,1,None,Individual,1
6,2,5,None,Individual,1
6,4,8,None,Individual,1
6,3,2,None,Individual,1
6,1,5,None,Individual,1
7,1,10,None,Individual,1
7,2,10,None,Individual,1
8,2,11,None,Individual,1
8,3,2,None,Individual,1
8,1,4,None,Individual,1
8,4,1,None,Individual,1
8,5,1,None,Individual,1
8,6,1,None,Individual,1
9,1,8,None,Individual,1
9,4,1,None,Individual,1
9,5,1,None,Individual,1
9,2,2,None,Individual,1
9,6,1,None,Individual,1
9,3,3,None,Individual,1
9,7,1,None,Individual,1
9,8,1,None,Individual,1
9,9,1,None,Individual,1
9,10,1,None,Individual,1
10,4,6,None,Individual,1
10,2,6,None,Individual,1
10,3,3,None,Individual,1
10,5,1,None,Individual,1
10,6,1,None,Individual,1
10,7,1,None,Individual,1
10,1,2,None,Individual,1
11,1,7,None,Individual,1
11,2,12,None,Individual,1
11,3,1,None,Individual,1
12,2,9,None,Individual,1
12,1,11,None,Individual,1
13,4,1,None,Individual,1
13,1,8,None,Individual,1
13,5,1,None,Individual,1
13,3,4,None,Individual,1
13,2,5,None,Individual,1
13,6,1,None,Individual,1
14,2,7,None,Individual,1
14,4,1,None,Individual,1
14,1,5,None,Individual,1
14,3,5,None,Individual,1
14,5,1,None,Individual,1
14,6,1,None,Individual,1
15,1,10,None,Individual,1
15,3,6,None,Individual,1
15,2,4,None,Individual,1
16,4,13,None,Individual,1
16,3,3,None,Individual,1
16,2,2,None,Individual,1
16,1,2,None,Individual,1
17,3,6,None,Individual,1
17,2,8,None,Individual,1
17,1,6,None,Individual,1
18,3,13,None,Individual,1
18,1,2,None,Individual,1
18,2,5,None,Individual,1
19,3,7,None,Individual,1
19,2,4,None,Individual,1
19,4,2,None,Individual,1
19,1,7,None,Individual,1
20,1,5,None,Individual,1
20,2,7,None,Individual,1
20,3,8,None,Individual,1
21,2,12,None,Individual,1
21,3,6,None,Individual,1
21,1,2,None,Individual,1
22,2,7,None,Individual,1
22,3,3,None,Individual,1
22,1,10,None,Individual,1
23,2,4,None,Individual,1
23,3,14,None,Individual,1
23,1,2,None,Individual,1
24,1,5,None,Individual,1
24,3,10,None,Individual,1
24,2,5,None,Individual,1
25,2,11,None,Individual,1
25,4,4,None,Individual,1
25,3,3,None,Individual,1
25,1,2,None,Individual,1
26,1,7,None,Individual,1
26,2,4,None,Individual,1
26,4,3,None,Individual,1
26,3,6,None,Individual,1
27,2,7,None,Individual,1
27,3,4,None,Individual,1
27,1,7,None,Individual,1
27,4,1,None,Individual,1
27,5,1,None,Individual,1
28,3,6,None,Individual,1
28,1,2,None,Individual,1
28,2,11,None,Individual,1
28,4,1,None,Individual,1
29,2,4,None,Individual,1
29,1,11,None,Individual,1
29,3,1,None,Individual,1
29,4,1,None,Individual,1
29,5,1,None,Individual,1
29,6,1,None,Individual,1
29,7,1,None,Individual,1
30,2,9,None,Individual,1
30,1,11,None,Individual,1
31,2,10,None,Individual,1
31,1,10,None,Individual,1
32,2,8,None,Individual,1
32,1,12,None,Individual,1
33,4,4,None,Individual,1
33,3,3,None,Individual,1
33,1,7,None,Individual,1
33,5,1,None,Individual,1
33,6,1,None,Individual,1
33,7,1,None,Individual,1
33,8,1,None,Individual,1
33,2,2,None,Individual,1
34,2,9,None,Individual,1
34,3,4,None,Individual,1
34,4,2,None,Individual,1
34,1,2,None,Individual,1
34,5,1,None,Individual,1
34,6,1,None,Individual,1
34,7,1,None,Individual,1
35,4,4,None,Individual,1
35,3,7,None,Individual,1
35,1,7,None,Individual,1
35,2,2,None,Individual,1
36,3,3,None,Individual,1
36,1,10,None,Individual,1
36,4,1,None,Individual,1
36,2,4,None,Individual,1
36,5,1,None,Individual,1
36,6,1,None,Individual,1
37,2,9,None,Individual,1
37,3,9,None,Individual,1
37,1,2,None,Individual,1
38,2,14,None,Individual,1
38,1,6,None,Individual,1
39,3,11,None,Individual,1
39,2,5,None,Individual,1
39,4,1,None,Individual,1
39,1,2,None,Individual,1
39,5,1,None,Individual,1
40,2,13,None,Individual,1
40,1,7,None,Individual,1
41,1,11,None,Individual,1
41,3,4,None,Individual,1
41,2,2,None,Individual,1
41,4,1,None,Individual,1
41,5,1,None,Individual,1
41,6,1,None,Individual,1
42,2,9,None,Individual,1
42,1,11,None,Individual,1
43,2,6,None,Individual,1
43,1,5,None,Individual,1
43,3,9,None,Individual,1
44,3,4,None,Individual,1
44,1,7,None,Individual,1
44,2,6,None,Individual,1
44,4,3,None,Individual,1
45,4,6,None,Individual,1
45,3,4,None,Individual,1
45,1,4,None,Individual,1
45,2,6,None,Individual,1
46,1,11,None,Individual,1
46,2,9,None,Individual,1
47,2,7,None,Individual,1
47,1,9,None,Individual,1
47,3,4,None,Individual,1
48,2,2,None,Individual,1
48,1,7,None,Individual,1
48,3,11,None,Individual,1
49,2,7,None,Individual,1
49,4,6,None,Individual,1
49,1,4,None,Individual,1
49,3,3,None,Individual,1
50,1,8,None,Individual,1
50,3,1,None,Individual,1
50,4,1,None,Individual,1
50,5,1,None,Individual,1
50,6,1,None,Individual,1
50,2,7,None,Individual,1
50,7,1,None,Individual,1
51,2,7,None,Individual,2
51,1,5,None,Individual,2
51,4,1,None,Individual,2
51,5,1,None,Individual,2
51,3,6,None,Individual,2
52,2,5,None,Individual,2
52,4,5,None,Individual,2
52,5,5,None,Individual,2
52,3,2,None,Individual,2
52,1,2,None,Individual,2
52,6,1,None,Individual,2
53,2,11,None,Individual,2
53,1,6,None,Individual,2
53,3,1,None,Individual,2
53,4,1,None,Individual,2
53,5,1,None,Individual,2
54,2,10,None,Individual,2
54,1,3,None,Individual,2
54,4,4,None,Individual,2
54,3,3,None,Individual,2
55,2,3,None,Individual,2
55,3,4,None,Individual,2
55,5,3,None,Individual,2
55,4,3,None,Individual,2
55,6,3,None,Individual,2
55,7,1,None,Individual,2
55,1,2,None,Individual,2
55,8,1,None,Individual,2
56,3,9,None,Individual,2
56,4,4,None,Individual,2
56,1,2,None,Individual,2
56,2,5,None,Individual,2
57,1,5,None,Individual,2
57,4,2,None,Individual,2
57,3,5,None,Individual,2
57,2,8,None,Individual,2
58,2,18,None,Individual,2
58,1,2,None,Individual,2
59,1,8,None,Individual,2
59,3,8,None,Individual,2
59,2,4,None,Individual,2
60,1,6,None,Individual,2
60,3,4,None,Individual,2
60,2,5,None,Individual,2
60,4,5,None,Individual,2
61,3,11,None,Individual,2
61,4,1,None,Individual,2
61,1,2,None,Individual,2
61,5,1,None,Individual,2
61,6,1,None,Individual,2
61,2,2,None,Individual,2
61,7,1,None,Individual,2
61,8,1,None,Individual,2
62,4,4,None,Individual,2
62,2,5,None,Individual,2
62,3,3,None,Individual,2
62,1,8,None,Individual,2
63,1,3,None,Individual,2
63,3,2,None,Individual,2
63,5,1,None,Individual,2
