"","compID","mean_within_dist","n_pairs","numPred","behaviorSpaceRun","tick"
"1",1,0.817555086829015,1,1,"1",0
"2",2,5.13025927025136,1,1,"1",0
"3",1,4.85891076271215,1,1,"1",50
"4",2,3.72252102328979,3,1,"1",50
"5",3,3.44098030572814,3,1,"1",50
"6",1,2.19035359163333,3,1,"1",100
"7",2,3.5410265082699,4,1,"1",100
"8",3,1.45457364199961,1,1,"1",100
"9",4,5.98479530309934,1,1,"1",100
"10",5,3.15845213132727,3,1,"1",100
"11",6,1.65154692636933,1,1,"1",100
"12",1,2.29496160993256,3,1,"1",150
"13",2,2.07440543378856,3,1,"1",150
"14",3,3.28439212178319,3,1,"1",150
"15",4,3.05935252604344,3,1,"1",150
"16",5,4.83162674261992,1,1,"1",150
"17",6,1.56260860102586,1,1,"1",150
"18",1,2.45994524517385,6,1,"1",200
"19",2,3.82634777571495,6,1,"1",200
"20",3,3.80527262063067,3,1,"1",200
"21",4,1.79841177593768,3,1,"1",200
"22",5,2.46808207521549,1,1,"1",200
"23",6,1.3953904471509,1,1,"1",200
"24",1,3.50648162465882,25,1,"1",250
"25",2,2.85527237339931,3,1,"1",250
"26",3,3.47917587814936,3,1,"1",250
"27",4,2.48675948374586,1,1,"1",250
"28",1,3.07092634507277,33,1,"1",300
"29",2,2.73657180084204,3,1,"1",300
"30",3,1.65486231255926,10,1,"1",300
"31",1,2.93967766080761,33,1,"1",350
"32",2,1.14669329489783,3,1,"1",350
"33",3,1.60572392072981,10,1,"1",350
"34",1,2.95664455581664,35,1,"1",400
"35",2,2.23371077357939,6,1,"1",400
"36",3,1.61136157980488,10,1,"1",400
"37",1,2.99852738726223,36,1,"1",450
"38",2,2.38733792960117,6,1,"1",450
"39",3,1.38868169573395,10,1,"1",450
"40",1,2.86881051227619,37,1,"1",500
"41",2,2.00068096356381,17,1,"1",500
"42",1,3.19401240157041,40,1,"1",550
"43",2,2.51719636716269,11,1,"1",550
"44",3,0.652914060194756,1,1,"1",550
"45",1,2.49154247113821,21,1,"1",600
"46",2,1.26774606688212,3,1,"1",600
"47",3,2.21101579046874,18,1,"1",600
"48",1,2.79930253034094,39,1,"1",650
"49",2,2.36944546240822,19,1,"1",650
"50",1,2.8453167222521,39,1,"1",700
"51",2,2.56876165948069,19,1,"1",700
"52",1,2.55022505890634,36,1,"1",750
"53",2,2.33853681725246,21,1,"1",750
"54",1,2.33284370180924,35,1,"1",800
"55",2,2.37577004696644,21,1,"1",800
"56",1,2.41605695701084,35,1,"1",850
"57",2,2.25126695023916,21,1,"1",850
"58",1,2.08912832696087,34,1,"1",900
"59",2,2.01649983169951,20,1,"1",900
"60",1,2.07383028560773,34,1,"1",950
"61",2,1.98631185461387,20,1,"1",950
"62",1,2.08388636064138,34,1,"1",1000
"63",2,1.65548462904924,19,1,"1",1000
"64",1,2.06236107277077,34,1,"1",1050
"65",2,0.566152955773292,3,1,"1",1050
"66",3,1.5118254223661,15,1,"1",1050
"67",1,2.19625110155787,34,1,"1",1100
"68",2,0.400404340735021,3,1,"1",1100
"69",3,1.31866306949093,15,1,"1",1100
"70",1,2.24974917576586,34,1,"1",1150
"71",2,0.405360368314297,3,1,"1",1150
"72",3,1.52772050172034,15,1,"1",1150
"73",1,1.75957636867008,34,1,"1",1200
"74",2,0.553977600648773,3,1,"1",1200
"75",3,0.98849897921248,15,1,"1",1200
"76",1,2.15305592442284,36,1,"1",1250
"77",2,0.591740043883084,3,1,"1",1250
"78",3,1.11528727395586,15,1,"1",1250
"79",1,1.87706629877583,1,1,"1",1300
"80",2,2.17029126735857,34,1,"1",1300
"81",3,1.28791786527306,20,1,"1",1300
"82",1,1.83054510460682,1,1,"1",1350
"83",2,2.06751648392511,36,1,"1",1350
"84",3,2.26117299304579,23,1,"1",1350
"85",1,1.78739077987999,1,1,"1",1400
"86",2,1.94954256319678,36,1,"1",1400
"87",3,2.5397379592761,26,1,"1",1400
