"","numPred","behaviorSpaceRun","tick","compID","compSize"
"1",1,"1",0,1,2
"2",1,"1",0,2,2
"3",1,"1",50,1,2
"4",1,"1",50,2,3
"5",1,"1",50,3,3
"6",1,"1",100,1,3
"7",1,"1",100,2,4
"8",1,"1",100,3,2
"9",1,"1",100,4,2
"10",1,"1",100,5,3
"11",1,"1",100,6,2
"12",1,"1",150,1,3
"13",1,"1",150,2,3
"14",1,"1",150,3,3
"15",1,"1",150,4,3
"16",1,"1",150,5,2
"17",1,"1",150,6,2
"18",1,"1",200,1,4
"19",1,"1",200,2,5
"20",1,"1",200,3,3
"21",1,"1",200,4,3
"22",1,"1",200,5,2
"23",1,"1",200,6,2
"24",1,"1",250,1,10
"25",1,"1",250,2,3
"26",1,"1",250,3,3
"27",1,"1",250,4,2
"28",1,"1",300,1,10
"29",1,"1",300,2,3
"30",1,"1",300,3,5
"31",1,"1",350,1,10
"32",1,"1",350,2,3
"33",1,"1",350,3,5
"34",1,"1",400,1,10
"35",1,"1",400,2,4
"36",1,"1",400,3,5
"37",1,"1",450,1,10
"38",1,"1",450,2,4
"39",1,"1",450,3,5
"40",1,"1",500,1,10
"41",1,"1",500,2,9
"42",1,"1",550,1,10
"43",1,"1",550,2,7
"44",1,"1",550,3,2
"45",1,"1",600,1,7
"46",1,"1",600,2,3
"47",1,"1",600,3,9
"48",1,"1",650,1,10
"49",1,"1",650,2,9
"50",1,"1",700,1,10
"51",1,"1",700,2,9
"52",1,"1",750,1,10
"53",1,"1",750,2,9
"54",1,"1",800,1,10
"55",1,"1",800,2,9
"56",1,"1",850,1,10
"57",1,"1",850,2,9
"58",1,"1",900,1,10
"59",1,"1",900,2,9
"60",1,"1",950,1,10
"61",1,"1",950,2,9
"62",1,"1",1000,1,10
"63",1,"1",1000,2,9
"64",1,"1",1050,1,10
"65",1,"1",1050,2,3
"66",1,"1",1050,3,6
"67",1,"1",1100,1,10
"68",1,"1",1100,2,3
"69",1,"1",1100,3,6
"70",1,"1",1150,1,11
"71",1,"1",1150,2,3
"72",1,"1",1150,3,6
"73",1,"1",1200,1,11
"74",1,"1",1200,2,3
"75",1,"1",1200,3,6
"76",1,"1",1250,1,11
"77",1,"1",1250,2,3
"78",1,"1",1250,3,6
"79",1,"1",1300,1,2
"80",1,"1",1300,2,9
