"","compID","mean_within_dist","n_pairs","numPred","behaviorSpaceRun","tick"
"1",1,4.39775463316482,3,1,"1",0
"2",2,2.44336106623642,1,1,"1",0
"3",3,2.44350549211578,1,1,"1",0
"4",4,2.11105018651855,1,1,"1",0
"5",1,3.28862457746357,4,1,"1",50
"6",2,3.95409196150014,1,1,"1",50
"7",3,3.99149604738,7,1,"1",50
"8",4,2.87812298586151,3,1,"1",50
"9",5,2.73202859611681,1,1,"1",50
"10",1,3.16808720874766,24,1,"1",100
"11",2,0.95148850087079,6,1,"1",100
"12",3,5.74156684015783,1,1,"1",100
"13",4,3.56657117691542,9,1,"1",100
"14",1,3.52413530888361,27,1,"1",150
"15",2,1.16230270456721,3,1,"1",150
"16",1,3.38877167202513,24,1,"1",200
"17",2,0.834165258833307,3,1,"1",200
"18",3,3.68379202045935,1,1,"1",200
"19",4,2.51600542840493,6,1,"1",200
"20",1,2.68891428731995,42,1,"1",250
"21",2,2.95507064168409,11,1,"1",250
"22",1,3.10185501434395,95,1,"1",300
"23",1,2.83378771116018,94,1,"1",350
"24",2,1.12070163736831,1,1,"1",350
"25",1,2.90518561408535,101,1,"1",400
"26",1,2.84329481811571,106,1,"1",450
"27",1,2.87575084946711,109,1,"1",500
"28",1,2.92891169730853,103,1,"1",550
"29",1,3.06833048886104,111,1,"1",600
"30",1,3.10933960487852,106,1,"1",650
"31",1,3.22419160903266,119,1,"1",700
"32",1,3.20111220768301,131,1,"1",750
"33",1,3.14113202904436,132,1,"1",800
"34",1,3.17883323745463,133,1,"1",850
"35",1,3.23158274713827,139,1,"1",900
"36",1,2.57216092277111,91,1,"1",950
"37",2,2.18351930954747,15,1,"1",950
"38",1,2.707440214525,117,1,"1",1000
"39",1,2.74710281567257,40,1,"1",1050
"40",2,2.22579038393627,28,1,"1",1050
"41",1,2.04636327666153,109,1,"1",1100
"42",1,2.33280868343489,111,1,"1",1150
"43",1,1.53407802031481,36,1,"1",1200
"44",2,3.02034553822055,34,1,"1",1200
