"","compID","mean_within_dist","n_pairs","numPred","behaviorSpaceRun","tick"
"1",1,2.30685834198808,1,1,"1",0
"2",2,3.715362316114,1,1,"1",0
"3",3,5.25714494569058,1,1,"1",0
"4",4,4.71412569347983,2,1,"1",0
"5",5,3.83156827682869,1,1,"1",0
"6",6,5.40492067379347,1,1,"1",0
"7",1,3.44605522594264,10,1,"1",50
"8",2,4.0485517462382,2,1,"1",50
"9",3,0.348596399866666,1,1,"1",50
"10",1,3.22642835546895,36,1,"1",100
"11",2,1.47118988917135,1,1,"1",100
"12",3,2.60724977322849,1,1,"1",100
"13",4,2.14567505927622,1,1,"1",100
"14",1,2.6133624513154,33,1,"1",150
"15",2,2.44928738685384,6,1,"1",150
"16",3,2.81140845226964,4,1,"1",150
"17",1,2.71767562426547,8,1,"1",200
"18",2,3.05651954609185,39,1,"1",200
"19",3,0.462167523740039,1,1,"1",200
"20",4,0.308977361630266,1,1,"1",200
"21",1,2.79561429500282,68,1,"1",250
"22",2,0.287656913701025,1,1,"1",250
"23",3,0.313316214071344,1,1,"1",250
"24",4,2.5924584567549,1,1,"1",250
"25",1,2.72713896158257,68,1,"1",300
"26",2,0.656789068118524,1,1,"1",300
"27",3,0.46187065288888,1,1,"1",300
"28",4,2.08938802762914,1,1,"1",300
"29",1,2.50486380165753,69,1,"1",350
"30",2,0.570729235277115,1,1,"1",350
"31",3,0.523864304949286,1,1,"1",350
"32",4,2.07314414597731,1,1,"1",350
"33",1,2.69088707493212,78,1,"1",400
"34",2,0.514597172553446,1,1,"1",400
"35",3,0.422429284022782,1,1,"1",400
"36",1,2.35680385445528,43,1,"1",450
"37",2,2.69441397109161,7,1,"1",450
"38",3,0.503130370778786,1,1,"1",450
"39",1,2.4740134363731,41,1,"1",500
"40",2,2.5618795435109,7,1,"1",500
"41",3,3.68115456165612,3,1,"1",500
"42",1,2.44255108361585,48,1,"1",550
"43",2,3.59467236871327,3,1,"1",550
"44",1,2.62428328011668,72,1,"1",600
"45",2,3.49573778622032,3,1,"1",600
"46",1,2.52369996113553,74,1,"1",650
"47",2,3.44386525457385,3,1,"1",650
"48",1,2.36237732378588,76,1,"1",700
"49",2,3.37970237896162,4,1,"1",700
"50",1,2.48451804558196,77,1,"1",750
"51",2,2.97466472951916,4,1,"1",750
"52",1,2.61361999057202,80,1,"1",800
"53",2,2.57596117215296,3,1,"1",800
"54",1,2.49917916685142,97,1,"1",850
"55",1,2.77273236328442,99,1,"1",900
"56",1,2.62101716192609,102,1,"1",950
"57",1,2.33569515234759,65,1,"1",1000
"58",2,1.95518727833539,11,1,"1",1000
"59",1,2.8607972518752,104,1,"1",1050
"60",1,2.59842407744812,100,1,"1",1100
"61",2,3.86796303627633,1,1,"1",1100
"62",1,2.72339380411439,108,1,"1",1150
"63",1,2.90236094231559,108,1,"1",1200
"64",1,2.90848392945354,107,1,"1",1250
"65",1,2.82966645322035,104,1,"1",1300
"66",1,3.03827111505927,103,1,"1",1350
"67",1,3.1353414683907,58,1,"1",1400
"68",2,1.17394827164747,10,1,"1",1400
"69",1,2.82944525269349,32,1,"1",1450
"70",2,2.22809988622228,45,1,"1",1450
"71",1,3.02755317475845,100,1,"1",1500
"72",1,2.71558050015789,96,1,"1",1550
"73",1,2.75900897416411,70,1,"1",1600
"74",2,2.62293358401052,5,1,"1",1600
"75",1,2.54899863650271,93,1,"1",1650
"76",1,2.66910224371213,80,1,"1",1700
"77",1,1.97648114143722,69,1,"1",1750
"78",2,2.75165770989229,3,1,"1",1750
"79",1,2.78453285647907,42,1,"1",1800
"80",2,0.819682321433788,21,1,"1",1800
"81",3,2.79350974403169,1,1,"1",1800
