"","numPred","behaviorSpaceRun","tick","compID","compSize"
"1",1,"1",0,1,2
"2",1,"1",0,2,2
"3",1,"1",0,3,2
"4",1,"1",0,4,3
"5",1,"1",0,5,2
"6",1,"1",0,6,2
"7",1,"1",50,1,6
"8",1,"1",50,2,3
"9",1,"1",50,3,2
"10",1,"1",100,1,10
"11",1,"1",100,2,2
"12",1,"1",100,3,2
"13",1,"1",100,4,2
"14",1,"1",150,1,10
"15",1,"1",150,2,4
"16",1,"1",150,3,4
"17",1,"1",200,1,5
"18",1,"1",200,2,11
"19",1,"1",200,3,2
"20",1,"1",200,4,2
"21",1,"1",250,1,14
"22",1,"1",250,2,2
"23",1,"1",250,3,2
"24",1,"1",250,4,2
"25",1,"1",300,1,14
"26",1,"1",300,2,2
"27",1,"1",300,3,2
"28",1,"1",300,4,2
"29",1,"1",350,1,14
"30",1,"1",350,2,2
"31",1,"1",350,3,2
"32",1,"1",350,4,2
"33",1,"1",400,1,15
"34",1,"1",400,2,2
"35",1,"1",400,3,2
"36",1,"1",450,1,10
"37",1,"1",450,2,5
"38",1,"1",450,3,2
"39",1,"1",500,1,11
"40",1,"1",500,2,5
"41",1,"1",500,3,3
"42",1,"1",550,1,16
"43",1,"1",550,2,3
"44",1,"1",600,1,16
"45",1,"1",600,2,3
"46",1,"1",650,1,16
"47",1,"1",650,2,3
"48",1,"1",700,1,16
"49",1,"1",700,2,4
"50",1,"1",750,1,16
"51",1,"1",750,2,4
"52",1,"1",800,1,16
"53",1,"1",800,2,3
"54",1,"1",850,1,20
"55",1,"1",900,1,20
"56",1,"1",950,1,20
"57",1,"1",1000,1,12
"58",1,"1",1000,2,6
"59",1,"1",1050,1,20
"60",1,"1",1100,1,18
"61",1,"1",1100,2,2
"62",1,"1",1150,1,20
"63",1,"1",1200,1,20
"64",1,"1",1250,1,20
"65",1,"1",1300,1,20
"66",1,"1",1350,1,20
"67",1,"1",1400,1,15
"68",1,"1",1400,2,5
"69",1,"1",1450,1,9
"70",1,"1",1450,2,10
"71",1,"1",1500,1,20
"72",1,"1",1550,1,20
"73",1,"1",1600,1,16
"74",1,"1",1600,2,4
"75",1,"1",1650,1,19
"76",1,"1",1700,1,20
"77",1,"1",1750,1,17
"78",1,"1",1750,2,3
"79",1,"1",1800,1,11
